num,word,BMC01,BMC02,BMC03,BMC04,BMC05,BMC08,BMC09,BMC10,WMC01,WMC02,WMC03,WMC04,WMC05,WMC07,WMC08,WMC09
151,SMOKE,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
152,SNOB,3,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
153,SOAP,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
154,SOAR,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
155,SOUL,4,2,2,2,4,1,2,2,2,2,3,3,3,3,3,4
156,SPACE,4,2,1,2,4,1,3,3,2,2,2,3,3,3,3,1
157,SPELL,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
158,SPY,4,2,2,2,4,1,3,3,2,3,3,3,3,3,3,4
159,SQUASH,4,2,3,2,4,1,2,2,2,2,3,3,3,3,3,4
160,STALK,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
161,STEEL,4,2,4,2,4,1,3,3,2,2,3,3,3,3,3,4
162,STORE,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
163,STRAIGHT,4,2,2,2,4,1,2,3,2,2,2,3,3,4,4,4
164,STRETCH,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
165,STRIKE,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
166,SWAMP,3,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
167,TAB,4,2,1,1,4,1,2,3,2,2,3,3,2,3,3,4
168,TART,4,2,2,1,4,1,2,3,2,4,2,3,3,3,3,4
169,TICK,3,2,3,2,4,1,4,3,2,2,2,3,2,3,3,4
