num,word,BFA01,BFA02,BFA03,BFA04,BFC02,BFC03,BFC04,BMA01,BMA02,BMA03,BMC01,BMC02,BMC03,BMC04,BMC05,BMC06,BMC07,BMC08,BMC09,BMC10,WFA01,WFA02,WFC01,WFC03,WMA01,WMA02,WMC01,WMC02,WMC03,WMC04,WMC05,WMC06,WMC07,WMC08,WMC09
121,PURSE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
122,QUACK,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
123,QUEEN,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
124,RAISE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
125,RANK,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
126,RAP,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
127,RASH,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
128,RING,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
129,RIP,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
130,ROAD,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
131,ROAM,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
132,ROCK,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
133,ROLL,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
134,ROSE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
135,ROW,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
136,SACK,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
137,SAD,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
138,SAFE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
139,SAGE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
140,SAIL,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
141,SALT,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
142,SAUCE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
143,SCALE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
144,SCOOP,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
145,SCORE,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
146,SCOTCH,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
147,SCRAP,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
148,SCREEN,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
149,SCROLL,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
150,SCUM,1,3,"""x""","""x""",4,2,4,1,4,"""x""",3,2,3,2,4,1,2,1,3,3,1,2,2,3,2,3,2,2,3,3,2,1,3,3,4
